ranking,commercial_stage,cnpj,razao_social,uf,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_evidence_level,proxy_date,minimum_elapsed_confirmed,claim_readiness,priority_score
21,DOCUMENT_REQUEST_READY,82743832000162,PLANATERRA-TERRAPLENAGEM E PAVIMENTACAO LTDA,SC,85361863000147-2-000216/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE RECUPERAÇÃO DA PAVIMENTAÇÃO ASFÁLTICA E SINALIZAÇÃO NA RUA DOM PEDRO II (TRECHOS I, II E III), PAVIMENTAÇÃO ASFÁLTICA SOBRE CALÇAMENTO, DRENAGEM P",6598000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-06-03,True,claim_blocked,71.18
22,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERACAO LTDA,SC,82925652000100-2-001005/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ENGENHARIA PARA EXECUÇÃO DE DRENAGEM, PAVIMENTAÇÃO ASFÁLTICA E SINALIZAÇÃO VIÁRIA DA RUA FRANCISCO MARCOLINO DUARTE, RUA EDUARDO NADER, RUA ARACI DU",2466864.41,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-07-23,True,claim_blocked,71.16
23,DOCUMENT_REQUEST_READY,83665141000150,SETEP CONSTRUCOES S.A,SC,17243084000197-2-000035/2024,A presente licitação tem por objetivo a contratação de empresa do ramo pertinente para execução das obras de “Obras de Construção de Pavimentação asfáltica da ciclofaixa junto à Rodovia SC-100 – Rod. ,2350000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-05-14,True,claim_blocked,71.13
24,DOCUMENT_REQUEST_READY,05895635000118,JR CONSTRUCOES E TERRAPLENAGEM LTDA EPP,SC,82547274000160-2-000243/2024,Ref.: Da definição do objeto: O objeto da presente licitação é a seleção da proposta apta a gerar o resultado de contratação mais vantajoso para o município visando a contratação de empresa especializ,2130000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-06-20,True,claim_blocked,71.07
25,DOCUMENT_REQUEST_READY,83665141000150,SETEP CONSTRUÇÕES S/A,SC,82911249000113-2-000045/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DAS OBRAS DE ENGENHARIA CONSISTENTES EM PAVIMENTAÇÃO ASFALTICA (CBUQ), NA RODOVIA ARA 248 (JOSÉ FRANCISCO PEREIRA); LOTE I, TRECHO II, ESTACAS 67 À 1",2090000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-05-21,True,claim_blocked,71.06
26,DOCUMENT_REQUEST_READY,22798043000105,KAENG INFRAESTRUTURA EIRELI,SC,12075748000132-2-000061/2024,"Contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções corretivas e preventivas nas rodovias,",19072635.18,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,71.06
27,DOCUMENT_REQUEST_READY,10249046000100,CONSTRUCOES SCHOROEDER LTDA,SC,82892308000153-2-000626/2025,"Obras e Serviços de Engenharia para pavimentação asfáltica, drenagem pluvial, passeio público e sinalização da Rua 7 de Setembro e Rua Justino Adalberto Leal.",5094568.24,UNKNOWN,False,R-D,2025-05-27,True,claim_blocked,70.94
28,DOCUMENT_REQUEST_READY,06145928000140,CONSTRUÇÃO CIVIL MG LTDA,SC,79373767000116-2-000106/2024,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA DE ENGENHARIA PARA A EXECUÇÃO DA PAVIMENTAÇÃO ASFÁLTICA CBUQ, DRENAGEM PLUVIAL E SINALIZAÇÃO VIÁRIA DA ESTRADA GERAL VARGEM GRANDE - TRECHO II NO MUNICÍPIO DE APIÚ",1644108.04,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-02-29,True,claim_blocked,70.94
29,DOCUMENT_REQUEST_READY,03620927000112,PAVIPLAN PAVIMENTAÇÃO LTDA,SC,12075748000132-2-000066/2024,"Contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções corretivas e preventivas nas rodovias,",17436859.78,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,70.92
30,DOCUMENT_REQUEST_READY,03257777000124,GAIA RODOVIAS LTDA,SC,12075748000132-2-000062/2024,"Contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções corretivas e preventivas nas rodovias,",17347969.84,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-24,True,claim_blocked,70.91
