id,razao_social,cnpj_8,municipio,codigo_ibge,distancia_fk,raio_200km,has_opportunity_data
672,JUIZADO ESPECIAL DE CAUSAS CIVEIS,00512716,SANTA CATARINA,,0.10435089202821368,True,False
763,21 AGENCIA DO DESENVOLVIMENTO REGIONAL DE ARARANGUA,05664192,SANTA CATARINA,,0.10435089202821368,True,False
622,FLORIANOPOLIS SECRETARIA MUNICIPAL ASSUNTOS NO ESTREITO,82953241,FLORIANOPOLIS,4205407,0.10435089202821368,True,False
705,FUNDO ROTATIVO DO CENTRO EDUCACIONAL REGIONAL DE LAGES,03130073,SANTA CATARINA,,0.10435089202821368,True,False
640,MAFRA ESCRIVANIA DO CIVEL E COMERCIO,83613844,SANTA CATARINA,,0.10435089202821368,True,False
957,EMPRESA PUBLICA DE TRANSITO E TRANSPORTE DE CRICIUMA SA - EPTC,05455291,SANTA CATARINA,,0.10435089202821368,True,False
761,AGENCIA DE DESENVOLVIMENTO REGIONAL DE BLUMENAU,05656080,SANTA CATARINA,,0.10435089202821368,True,False
708,"VARA FAZENDA PUPLICA, EXECUTIVOS FISCAIS, ACIDENTES DO TRABALHO E REGISTRO PUBLICO",03573080,SANTA CATARINA,,0.10435089202821368,True,False
645,SAO BENTO DO SUL CIVEL ORFAOS E ANEXOS,83629550,SANTA CATARINA,,0.10435089202821368,True,False
915,CONSELHO DA JUSTICA FEDERAL,00508903,SANTA CATARINA,,0.10435089202821368,True,False
789,AGENCIA DE DESENVOLVIMENTO REGIONAL - ITAPIRANGA,08832433,SANTA CATARINA,,0.10435089202821368,True,False
935,FUNDACAO BELVEDERE DE PESQUISA E ESTUDOS CIENTIFICOS,03300478,SANTA CATARINA,,0.10435089202821368,True,False
644,MAFRA ESCRIVAO DO CRIME E FEITOS DA FAZENDA,83616128,SANTA CATARINA,,0.10435089202821368,True,False
668,FUNDO ESTADUAL DE TRANSPORTE,85280295,SANTA CATARINA,,0.10435089202821368,True,False
665,POLICIA MILITAR DO ESTADO DE SANTA CATARINA,83931550,SANTA CATARINA,,0.10435089202821368,True,False
602,SANTA CATARINA GOVERNO DO ESTADO,80675390,SANTA CATARINA,,0.10435089202821368,True,False
1038,MINISTERIO DO TRABALHO E EMPREGO - MTE,37115367,SANTA CATARINA,,0.10435089202821368,True,False
