id;razao_social;cnpj_8;municipio;codigo_ibge;natureza_juridica;causa_raiz;investigado_em;observacoes
6;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROPECUARIO;02307870;SANTO AMARO DA IMPERATRIZ;4215703;Fundação Pública de Direito Público Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Fundação Pública de Direito Público Municipal' em SANTO AMARO DA IMPERATRIZ sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 02307870"
5;FUNDO MUNICIPAL DE TURISMO;02305652;SANTO AMARO DA IMPERATRIZ;4215703;Fundação Pública de Direito Público Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Fundação Pública de Direito Público Municipal' em SANTO AMARO DA IMPERATRIZ sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 02305652"
7;INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO M;03752747;SANTO AMARO DA IMPERATRIZ;4215703;Autarquia Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Autarquia Municipal' em SANTO AMARO DA IMPERATRIZ sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 03752747"
1;SECRETARIA MUNICIPAL DE EDUCACAO;62761279;SANTO AMARO DA IMPERATRIZ;4215703;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SANTO AMARO DA IMPERATRIZ sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 62761279"
1795;ASSOC. DE FOMENTO EMPRESARIAL DE SAO BENTO DO SUL-SERRA ALTA;02737479;SAO BENTO DO SUL;4215802;Consórcio Público de Direito Público (Associação Pública);sem_dados_publicos;2026-07-11;"Entidade 'Consórcio Público de Direito Público (Associação Pública)' em SAO BENTO DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 02737479"
1728;ASSOCIACAO DE FOMENTO EMPRESARIAL DE SAO BENTO DO SUL;00574837;SAO BENTO DO SUL;4215802;Consórcio Público de Direito Público (Associação Pública);sem_dados_publicos;2026-07-11;"Entidade 'Consórcio Público de Direito Público (Associação Pública)' em SAO BENTO DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 00574837"
1788;CONSORCIO INTERMUNICIPAL QUIRIRI;02375463;SAO BENTO DO SUL;4215802;Consórcio Público de Direito Público (Associação Pública);sem_dados_publicos;2026-07-11;"Entidade 'Consórcio Público de Direito Público (Associação Pública)' em SAO BENTO DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 02375463"
2052;SECRETARIA DE EDUCACAO DE SAO BENTO DO SUL SC;30905495;SAO BENTO DO SUL;4215802;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SAO BENTO DO SUL sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 30905495"
1938;CAMARA DE VEREADORES DE SAO BERNARDINO;11431606;SAO BERNARDINO;4215752;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 11431606"
2053;SECRETARIA DE EDUCACAO SAO BERNARDINO/SC;30916785;SAO BERNARDINO;4215752;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SAO BERNARDINO sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 30916785"
1918;CAMARA DE VEREADORES DE SAO BONIFACIO;09091895;SAO BONIFACIO;4215901;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 09091895"
