entity_id,razao_social,cnpj_8,municipio,gap_reason
169,FUNDACAO PROMOTORA DE EXPOSICOES DE BLUMENAU,82665001,BLUMENAU,no_contract_for_org_cnpj_prefix
158,INSTITUTO DE PESQ E PLANEJAM URBANO DE BLUMENAU,73443954,BLUMENAU,no_contract_for_org_cnpj_prefix
188,INSTITUTO MUNICIPAL DE SEGURIDADE SOCIAL DO SERVIDOR DE BLUM,04515660,BLUMENAU,no_contract_for_org_cnpj_prefix
191,SECRETARIA MUNICIPAL DE EDUCACAO DE BLUMENAU SC,30969129,BLUMENAU,no_contract_for_org_cnpj_prefix
178,SERVICO AUTONOMO MUNICIPAL DE TRANSITO E TRANSPORTES DE BLUMENAU,83637595,BLUMENAU,no_contract_for_org_cnpj_prefix
405,CAMARA MUNICIPAL DE BOCAINA DO SUL/SC,01624194,BOCAINA DO SUL,no_contract_for_org_cnpj_prefix
406,SECRETARIA EDUCACAO - BOCAINA DO SUL,31170290,BOCAINA DO SUL,no_contract_for_org_cnpj_prefix
59,CAMARA MUNICIPAL DE BOMBINHAS,95815304,BOMBINHAS,no_contract_for_org_cnpj_prefix
63,FUNDACAO MUNICIPAL DE AMPARO AO MEIO AMBIENTE DE BOMBINHAS,11419507,BOMBINHAS,no_contract_for_org_cnpj_prefix
62,FUNDACAO MUNICIPAL DE CULTURA DE BOMBINHAS,09362501,BOMBINHAS,no_contract_for_org_cnpj_prefix
61,FUNDACAO MUNICIPAL DE ESPORTES DE BOMBINHAS,05655623,BOMBINHAS,no_contract_for_org_cnpj_prefix
376,BOM JARDIM DA SERRA CAMARA DE VEREADORES,73590937,BOM JARDIM DA SERRA,no_contract_for_org_cnpj_prefix
380,FUNDACAO CULTURAL DE BOM JARDIM DA SERRA,07619983,BOM JARDIM DA SERRA,no_contract_for_org_cnpj_prefix
377,FUNDACAO HOSPITALAR DO MUNICIPIO DE BOM JARDIM DA SERRA,80168446,BOM JARDIM DA SERRA,no_contract_for_org_cnpj_prefix
379,HOSPITAL MUNICIPAL DE BOM JARDIM DA SERRA,03911028,BOM JARDIM DA SERRA,no_contract_for_org_cnpj_prefix
381,SECRETARIA DE EDUCACAO BOM JARDIM DA SERRA SC,31032171,BOM JARDIM DA SERRA,no_contract_for_org_cnpj_prefix
1333,BOM JESUS PREVI,02879655,BOM JESUS,no_contract_for_org_cnpj_prefix
