ibge_code,cnpj,name,canonical_name,entity_type,municipio,uf,lat,lon,distance_km,zone,sources
4202909,75294264,COMPANHIA DE DESENVOLVIMENTO E URBANIZACAO DE BRUSQUE,COMPANHIA DE DESENVOLVIMENTO E URBANIZACAO DE BRUSQUE,sociedade_economia_mista,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4206306,79832150,CAMARA MUNICIPAL DE VEREADORES DE GUABIRUBA,CAMARA MUNICIPAL DE VEREADORES DE GUABIRUBA,camara_municipal,GUABIRUBA,SC,-27.0808,-48.9804,71.4,DENTRO,seed:R-0
4206306,83102368,MUNICIPIO DE GUABIRUBA,MUNICIPIO DE GUABIRUBA,prefeitura,GUABIRUBA,SC,-27.0808,-48.9804,71.4,DENTRO,seed:R-0
4206306,06078939,SECRETARIA MUNICIPAL DA EDUCACAO,SECRETARIA MUNICIPAL DA EDUCACAO,secretaria_municipal,GUABIRUBA,SC,-27.0808,-48.9804,71.4,DENTRO,seed:R-0
4206306,16501189,FUNDACAO CULTURAL DE GUABIRUBA,FUNDACAO CULTURAL DE GUABIRUBA,fundacao_municipal,GUABIRUBA,SC,-27.0808,-48.9804,71.4,DENTRO,seed:R-0
4207304,79680005,IMBITUBA CAMARA MUNICIPAL,IMBITUBA CAMARA MUNICIPAL,camara_municipal,IMBITUBA,SC,-28.2284,-48.6659,71.3,DENTRO,seed:R-0
4207304,82909409,MUNICIPIO DE IMBITUBA,MUNICIPIO DE IMBITUBA,prefeitura,IMBITUBA,SC,-28.2284,-48.6659,71.3,DENTRO,seed:R-0
4207304,02238456,FUNDACAO MUNICIPAL DE ESPORTES - FME,FUNDACAO MUNICIPAL DE ESPORTES - FME,fundacao_municipal,IMBITUBA,SC,-28.2284,-48.6659,71.3,DENTRO,seed:R-0
4207304,07432006,FUNDACAO CULTURAL DE IMBITUBA - FUNCI,FUNDACAO CULTURAL DE IMBITUBA - FUNCI,secretaria_municipal,IMBITUBA,SC,-28.2284,-48.6659,71.3,DENTRO,seed:R-0
4207304,31049535,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO (SAMAE) DE IMBITUBA,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO (SAMAE) DE IMBITUBA,autarquia_municipal,IMBITUBA,SC,-28.2284,-48.6659,71.3,DENTRO,seed:R-0
4207304,32449592,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA E ESPORTE DE IMBITUBA SC","SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA E ESPORTE DE IMBITUBA SC",secretaria_municipal,IMBITUBA,SC,-28.2284,-48.6659,71.3,DENTRO,seed:R-0
4209805,63866918,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E DESPORTO DE LEOBERTO LEAL SC","SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E DESPORTO DE LEOBERTO LEAL SC",secretaria_municipal,LEOBERTO LEAL,SC,-27.5081,-49.2789,72.7,DENTRO,seed:R-0
